# veneer-fingerprint f34877efd155
__ctype_b_loc	filled
__errno_location	shim
__lxstat64	wired
__xstat64	wired
close	forward
exit	forward
fchmod	forward
fchown	forward
fclose	forward
fdopen	forward
ferror	forward
fflush	forward
fgetc	forward
fileno	forward
fopen64	forward
fprintf	forward
fputc	forward
fread	forward
free	forward
fwrite	forward
getenv	forward
isatty	forward
malloc	forward
memcpy	forward
memmove	forward
memset	forward
open64	wired
perror	forward
remove	forward
rewind	forward
signal	shim
strcat	forward
strcmp	forward
strerror	forward
strlen	forward
strncmp	forward
strncpy	forward
strstr	forward
ungetc	forward
utime	forward
