# veneer-fingerprint eafa4ab49ac8
__ctype_b_loc	filled
__cxa_finalize	forward
__errno_location	shim
__fprintf_chk	shim
__lxstat64	shim
__memcpy_chk	forward
__stack_chk_fail	forward
__strcat_chk	forward
__xstat64	shim
_ITM_deregisterTMCloneTable	optional
_ITM_registerTMCloneTable	optional
close	forward
exit	forward
fchmod	forward
fchown	forward
fclose	forward
fdopen	forward
ferror	forward
fflush	forward
fgetc	forward
fileno	forward
fopen64	forward
fputc	forward
fread	forward
free	forward
fwrite	forward
getenv	forward
isatty	forward
malloc	forward
memcpy	forward
memmove	forward
memset	forward
open64	shim
perror	forward
remove	forward
rewind	forward
signal	shim
strcmp	forward
strerror	forward
strlen	forward
strncmp	forward
strncpy	forward
strstr	forward
ungetc	forward
utime	forward
