__assert	unlisted	-
__assert_func	unlisted	-
__assertfail	unlisted	-
__b64_ntop	int	int __b64_ntop (const u_char *, size_t, char *, size_t)
__b64_pton	int	int __b64_pton (const char *, u_char *, size_t)
__bsd_qsort_r	unlisted	-
__chk_fail	unlisted	-
__cpuset_alloc	int	cpu_set_t *__cpuset_alloc (int)
__cpuset_free	int	void __cpuset_free (cpu_set_t *)
__cxa_atexit	unlisted	-
__cxa_finalize	unlisted	-
__dn_comp	int	int __dn_comp (const char *, u_char *, int, u_char **, u_char **)
__dn_expand	int	int __dn_expand (const u_char *, const u_char *, const u_char *, char *, int)
__dn_skipname	int	int __dn_skipname (const u_char *, const u_char *)
__eprintf	int	void __eprintf (const char *, const char *, unsigned int, const char *)
__errno	int	int *__errno (void)
__fbufsize	unlisted	-
__flbf	unlisted	-
__fpclassifyd	fp	int __fpclassifyd (double)
__fpclassifyf	fp	int __fpclassifyf (float)
__fpending	unlisted	-
__fpurge	int	void __fpurge (FILE *)
__freadable	unlisted	-
__freading	unlisted	-
__fsetlocking	int	int __fsetlocking (FILE *, int)
__fwritable	unlisted	-
__fwriting	unlisted	-
__getpagesize	int	int __getpagesize (void)
__getreent	int	struct _reent *__getreent (void)
__gets_chk	unlisted	-
__gnu_basename	unlisted	-
__infinity	unlisted	-
__isinfd	fp	int __isinfd (double)
__isinff	fp	int __isinff (float)
__isnand	fp	int __isnand (double)
__isnanf	fp	int __isnanf (float)
__locale_ctype_ptr	int	const char *__locale_ctype_ptr (void)
__locale_ctype_ptr_l	int	const char *__locale_ctype_ptr_l (locale_t)
__locale_mb_cur_max	int	int __locale_mb_cur_max (void)
__main	unlisted	-
__memcpy_chk	unlisted	-
__memmove_chk	unlisted	-
__mempcpy	unlisted	-
__mempcpy_chk	unlisted	-
__memset_chk	unlisted	-
__opendir_with_d_ino	unlisted	-
__res_close	int	void __res_close (void)
__res_init	int	int __res_init (void)
__res_mkquery	int	int __res_mkquery (int, const char *, int, int, const u_char *, int, const u_char *, u_char *, int)
__res_nclose	int	void __res_nclose (res_state)
__res_ninit	int	int __res_ninit (res_state)
__res_nmkquery	int	int __res_nmkquery (res_state, int, const char *, int, int, const u_char *, int, const u_char *, u_char *, int)
__res_nquery	int	int __res_nquery (res_state, const char *, int, int, u_char *, int)
__res_nquerydomain	int	int __res_nquerydomain (res_state, const char *, const char *, int, int, u_char *, int)
__res_nsearch	int	int __res_nsearch (res_state, const char *, int, int, u_char *, int)
__res_nsend	int	int __res_nsend (res_state, const u_char *, int, u_char *, int)
__res_query	int	int __res_query (const char *, int, int, u_char *, int)
__res_querydomain	int	int __res_querydomain (const char *, const char *, int, int, u_char *, int)
__res_search	int	int __res_search (const char *, int, int, u_char *, int)
__res_send	int	int __res_send (const u_char *, int, u_char *, int)
__res_state	int	struct __res_state *__res_state (void)
__sched_getaffinity_sys	int	int __sched_getaffinity_sys (__pid_t, __size_t, cpu_set_t *)
__signbitd	fp	int __signbitd (double)
__signbitf	fp	int __signbitf (float)
__signgam	int	int *__signgam (void)
__srget	unlisted	-
__srget_r	int	int __srget_r (struct _reent *, FILE *)
__stack_chk_fail	unlisted	-
__stack_chk_fail_local	unlisted	-
__stpcpy_chk	unlisted	-
__stpncpy_chk	unlisted	-
__strcat_chk	unlisted	-
__strcpy_chk	unlisted	-
__strncat_chk	unlisted	-
__strncpy_chk	unlisted	-
__swbuf	unlisted	-
__swbuf_r	int	int __swbuf_r (struct _reent *, int, FILE *)
__wrap__ZdaPv	unlisted	-
__wrap__ZdaPvRKSt9nothrow_t	unlisted	-
__wrap__ZdlPv	unlisted	-
__wrap__ZdlPvRKSt9nothrow_t	unlisted	-
__wrap__Znam	unlisted	-
__wrap__ZnamRKSt9nothrow_t	unlisted	-
__wrap__Znwm	unlisted	-
__wrap__ZnwmRKSt9nothrow_t	unlisted	-
__xdrrec_getrec	unlisted	-
__xdrrec_setnonblock	unlisted	-
__xpg_sigpause	unlisted	-
__xpg_strerror_r	unlisted	-
_alloca	unlisted	-
_dll_crt0	unlisted	-
_Exit	int	void _Exit (int)
_exit	int	void _exit (int)
_feinitialise	unlisted	-
_get_osfhandle	unlisted	-
_longjmp	int	void _longjmp (long int *, int)
_pipe	unlisted	-
_pthread_cleanup_pop	int	void _pthread_cleanup_pop (int)
_pthread_cleanup_push	int	void _pthread_cleanup_push (__pthread_cleanup_handler *)
_setjmp	int	int _setjmp (long int *)
_setmode	unlisted	-
a64l	int	long int a64l (const char *)
abort	int	void abort (void)
abs	int	int abs (int)
accept	int	int accept (int, struct sockaddr *, socklen_t *)
accept4	int	int accept4 (int, struct sockaddr *, socklen_t *, int)
access	int	int access (const char *, int)
acl	unlisted	-
acl_add_perm	int	int acl_add_perm (acl_permset_t, acl_perm_t)
acl_calc_mask	int	int acl_calc_mask (acl_t *)
acl_check	unlisted	-
acl_clear_perms	int	int acl_clear_perms (acl_permset_t)
acl_cmp	unlisted	-
acl_copy_entry	int	int acl_copy_entry (acl_entry_t, acl_entry_t)
acl_copy_ext	int	ssize_t acl_copy_ext (void *, acl_t, ssize_t)
acl_copy_int	int	acl_t acl_copy_int (const void *)
acl_create_entry	int	int acl_create_entry (acl_t *, acl_entry_t *)
acl_delete_def_file	int	int acl_delete_def_file (const char *)
acl_delete_entry	int	int acl_delete_entry (acl_t, acl_entry_t)
acl_delete_perm	int	int acl_delete_perm (acl_permset_t, acl_perm_t)
acl_dup	int	acl_t acl_dup (acl_t)
acl_entries	unlisted	-
acl_equiv_mode	unlisted	-
acl_error	unlisted	-
acl_extended_fd	unlisted	-
acl_extended_file	unlisted	-
acl_extended_file_nofollow	unlisted	-
acl_free	int	int acl_free (void *)
acl_from_mode	unlisted	-
acl_from_text	int	acl_t acl_from_text (const char *)
acl_get_entry	int	int acl_get_entry (acl_t, int, acl_entry_t *)
acl_get_fd	int	acl_t acl_get_fd (int)
acl_get_file	int	acl_t acl_get_file (const char *, acl_type_t)
acl_get_perm	unlisted	-
acl_get_permset	int	int acl_get_permset (acl_entry_t, acl_permset_t *)
acl_get_qualifier	int	void *acl_get_qualifier (acl_entry_t)
acl_get_tag_type	int	int acl_get_tag_type (acl_entry_t, acl_tag_t *)
acl_init	int	acl_t acl_init (int)
acl_set_fd	int	int acl_set_fd (int, acl_t)
acl_set_file	int	int acl_set_file (const char *, acl_type_t, acl_t)
acl_set_permset	int	int acl_set_permset (acl_entry_t, acl_permset_t)
acl_set_qualifier	int	int acl_set_qualifier (acl_entry_t, const void *)
acl_set_tag_type	int	int acl_set_tag_type (acl_entry_t, acl_tag_t)
acl_size	int	ssize_t acl_size (acl_t)
acl_to_any_text	unlisted	-
