# What each package would cost to pin, in names added to the claimed
# surface. Free packages test the surface; extending ones buy breadth
# and are paid for. The two are never one number.
#
# Generated by pin-cost 1.0. Rerunning it regenerates this file, and it
# moves when the claimed surface moves, which is the point.

script  pin-cost 1.0
run_date  2026-09-03
frag_root  census-work
claimed_surface  111 names

## The cost bands

free           112 packages
cheap          395 packages
moderate       343 packages
expensive      218 packages
project         80 packages
unpinnable    1898 packages  (no surface buys these; the floor lacks the capability)

## The free frontier, deepest exercise first

# Each of these adds nothing to the claimed surface. Pinning one buys a
# test of bodies already written and claims no new obligation.

free  libdhash                                 exercises 8
free  NetworkManager-ovs                       exercises 7
free  gtk-vnc2                                 exercises 7
free  libXfixes                                exercises 7
free  ocaml-hivex                              exercises 7
free  xxhash-libs                              exercises 6
free  libXNVCtrl                               exercises 5
free  perl-Digest-SHA                          exercises 5
free  udisks2-iscsi                            exercises 5
free  udisks2-lsm                              exercises 5
free  dovecot-pgsql                            exercises 4
free  gnutls-c++                               exercises 4
free  libXcomposite                            exercises 4
free  libXdamage                               exercises 4
free  libgit2-glib                             exercises 4
free  libgusb                                  exercises 4
free  libpeas-gtk                              exercises 4
free  nbdkit-gzip-plugin                       exercises 4
free  perl-Digest-SHA1                         exercises 4
free  perl-Encode-Detect                       exercises 4
free  perl-GDBM_File                           exercises 4
free  perl-Opcode                              exercises 4
free  perl-Params-Classify                     exercises 4
free  php-enchant                              exercises 4
free  php-recode                               exercises 4
free  python3-tdb                              exercises 4
free  rpm-plugin-selinux                       exercises 4
free  PackageKit-gtk3-module                   exercises 3
free  freeradius-unixODBC                      exercises 3
free  gom                                      exercises 3
free  gtk2-immodules                           exercises 3
free  ibus-gtk2                                exercises 3
free  ibus-gtk3                                exercises 3
free  keybinder3                               exercises 3
free  libXScrnSaver                            exercises 3
free  libXinerama                              exercises 3
free  libblockdev-nvdimm                       exercises 3
free  libguestfs-gobject                       exercises 3
free  libverto-libev                           exercises 3
free  libvirt-wireshark                        exercises 3
free  nginx-mod-http-image-filter              exercises 3
free  pangomm                                  exercises 3
free  perl-Digest-MD5                          exercises 3
