# package	band	names-added	claimed-names-exercised
389-ds-base	unpinnable	15	44
389-ds-base-legacy-tools	expensive	26	19
389-ds-base-libs	unpinnable	14	45
389-ds-base-snmp	expensive	27	21
CUnit	unpinnable	3	14
GConf2	unpinnable	3	24
HdrHistogram_c	moderate	18	13
Judy	cheap	2	7
LibRaw	unpinnable	1	23
ModemManager	unpinnable	2	22
ModemManager-glib	cheap	4	6
NetworkManager	unpinnable	18	35
NetworkManager-adsl	unpinnable	1	5
NetworkManager-bluetooth	unpinnable	1	8
NetworkManager-cloud-setup	unpinnable	2	11
NetworkManager-libnm	unpinnable	4	21
NetworkManager-libreswan	unpinnable	4	12
NetworkManager-libreswan-gnome	unpinnable	4	10
NetworkManager-ovs	free	0	7
NetworkManager-ppp	moderate	8	6
NetworkManager-team	unpinnable	1	5
NetworkManager-tui	unpinnable	6	20
NetworkManager-wifi	unpinnable	1	6
NetworkManager-wwan	unpinnable	1	7
OpenEXR-libs	moderate	17	11
OpenIPMI	unpinnable	2	25
OpenIPMI-lanserv	unpinnable	4	26
OpenIPMI-libs	unpinnable	6	27
OpenIPMI-perl	unpinnable	1	11
PackageKit	unpinnable	5	16
PackageKit-command-not-found	unpinnable	4	12
PackageKit-glib	unpinnable	3	11
PackageKit-gstreamer-plugin	cheap	2	2
PackageKit-gtk3-module	free	0	3
SDL	unpinnable	4	28
SDL2	unpinnable	9	32
SuperLU	unpinnable	3	11
Xaw3d	unpinnable	3	24
aardvark-dns	unpinnable	10	18
abrt	unpinnable	6	21
abrt-addon-ccpp	unpinnable	3	15
abrt-addon-coredump-helper	unpinnable	4	13
abrt-addon-kerneloops	unpinnable	3	14
abrt-addon-pstoreoops	unpinnable	3	5
abrt-addon-xorg	unpinnable	3	13
abrt-dbus	unpinnable	3	14
abrt-gui	unpinnable	3	10
abrt-gui-libs	unpinnable	1	4
abrt-java-connector	unpinnable	4	19
abrt-libs	unpinnable	2	23
abrt-tui	unpinnable	3	8
accel-config	expensive	24	23
accel-config-libs	unpinnable	1	14
accountsservice	unpinnable	5	13
accountsservice-libs	unpinnable	1	7
acl	unpinnable	4	22
acpica-tools	unpinnable	3	37
acpid	unpinnable	3	26
adcli	unpinnable	3	25
adwaita-gtk2-theme	free	0	2
adwaita-qt5	cheap	3	6
aide	unpinnable	1	35
alsa-lib	unpinnable	4	37
alsa-plugins-arcamav	expensive	32	11
alsa-plugins-maemo	unpinnable	1	9
alsa-plugins-oss	unpinnable	1	11
alsa-plugins-pulseaudio	moderate	8	7
alsa-plugins-samplerate	cheap	1	4
alsa-plugins-speex	cheap	1	7
alsa-plugins-upmix	cheap	1	4
alsa-plugins-usbstream	unpinnable	2	10
alsa-plugins-vdownmix	cheap	1	4
alsa-tools-firmware	moderate	11	16
alsa-utils	unpinnable	8	39
alsa-utils-alsabat	unpinnable	2	18
amanda	unpinnable	5	28
amanda-client	unpinnable	4	33
amanda-libs	unpinnable	10	38
amanda-server	unpinnable	2	28
anaconda-core	unpinnable	2	11
anaconda-dracut	moderate	14	10
anaconda-widgets	unpinnable	2	3
anaconda-widgets-devel	free	0	1
annobin	unpinnable	2	12
annobin-annocheck	unpinnable	2	24
ansible-core	free	0	2
apr	unpinnable	7	24
apr-util	unpinnable	5	16
apr-util-bdb	free	0	2
apr-util-ldap	free	0	2
apr-util-mysql	cheap	5	5
apr-util-odbc	moderate	6	5
apr-util-openssl	cheap	2	6
apr-util-pgsql	cheap	2	4
apr-util-sqlite	cheap	2	4
arpwatch	expensive	48	23
aspell	unpinnable	5	30
at	project	81	35
at-spi2-atk	moderate	15	7
at-spi2-core	unpinnable	3	13
atk	unpinnable	3	3
atkmm	free	0	2
atlas	unpinnable	1	7
atlas-corei2	unpinnable	1	8
attr	unpinnable	4	18
audispd-plugins	project	59	16
audispd-plugins-zos	expensive	35	13
audit	unpinnable	10	35
audit-libs	unpinnable	2	26
augeas	expensive	28	22
augeas-libs	unpinnable	3	31
authd	unpinnable	4	21
authselect	unpinnable	3	10
authselect-libs	unpinnable	1	28
autofs	unpinnable	8	35
autogen	project	80	34
autogen-libopts	unpinnable	4	31
autotrace	unpinnable	2	25
avahi	unpinnable	6	22
avahi-autoipd	unpinnable	3	19
avahi-compat-howl	unpinnable	1	11
avahi-compat-libdns_sd	unpinnable	1	13
avahi-glib	cheap	1	2
avahi-gobject	cheap	1	4
avahi-libs	unpinnable	4	17
avahi-tools	unpinnable	1	12
avahi-ui	unpinnable	1	4
avahi-ui-gtk3	unpinnable	1	4
babl	unpinnable	1	22
bacula-client	unpinnable	4	25
bacula-console	unpinnable	3	17
bacula-director	unpinnable	4	27
bacula-libs	unpinnable	9	41
bacula-libs-sql	unpinnable	1	10
bacula-storage	unpinnable	4	19
baobab	unpinnable	4	3
bash	unpinnable	9	30
bc	expensive	24	26
bcc	unpinnable	5	26
bcc-tools	moderate	9	10
bind	unpinnable	4	24
bind-dyndb-ldap	expensive	25	11
bind-export-libs	unpinnable	3	33
bind-libs	unpinnable	1	21
bind-libs-lite	unpinnable	6	35
bind-pkcs11	unpinnable	3	19
bind-pkcs11-libs	unpinnable	6	34
bind-pkcs11-utils	unpinnable	3	16
bind-sdb	unpinnable	3	28
bind-utils	unpinnable	3	24
bind9.16	unpinnable	4	25
bind9.16-dnssec-utils	unpinnable	3	19
bind9.16-libs	unpinnable	6	33
bind9.16-utils	unpinnable	3	22
binutils	unpinnable	8	44
biosdevname	expensive	32	22
bison	unpinnable	4	22
blas	unpinnable	1	7
blas64	unpinnable	1	7
blktrace	unpinnable	1	34
bluez	unpinnable	7	33
bluez-cups	expensive	39	20
bluez-hid2hci	moderate	6	10
bluez-libs	unpinnable	1	13
bluez-obexd	unpinnable	3	27
bogofilter	unpinnable	3	29
bolt	unpinnable	2	17
boost-atomic	free	0	1
boost-chrono	cheap	2	7
boost-container	unpinnable	1	5
boost-context	moderate	6	2
boost-coroutine	cheap	3	7
boost-date-time	moderate	8	5
boost-fiber	moderate	16	10
boost-filesystem	unpinnable	1	15
boost-graph	cheap	4	7
boost-graph-mpich	unpinnable	1	8
boost-graph-openmpi	unpinnable	1	8
boost-iostreams	moderate	9	8
boost-jam	project	69	30
boost-locale	unpinnable	3	13
boost-log	unpinnable	7	18
boost-math	expensive	39	6
boost-mpich	cheap	4	5
boost-mpich-python3	cheap	4	7
boost-numpy3	cheap	3	2
boost-openmpi	cheap	4	5
boost-openmpi-python3	cheap	4	7
boost-program-options	moderate	15	7
boost-python3	cheap	4	8
boost-random	cheap	1	8
boost-regex	expensive	47	13
boost-serialization	moderate	15	9
boost-signals	cheap	2	2
boost-stacktrace	moderate	14	13
boost-system	cheap	2	4
boost-test	unpinnable	1	16
boost-thread	expensive	21	10
boost-timer	cheap	4	4
boost-type_erasure	moderate	9	6
boost-wave	moderate	14	9
bpftool	unpinnable	5	42
bpftrace	unpinnable	12	36
brasero	unpinnable	5	18
brasero-libs	unpinnable	8	22
brasero-nautilus	cheap	3	3
brlapi	unpinnable	12	38
brlapi-java	unpinnable	1	7
brltty	unpinnable	14	36
brltty-at-spi2	cheap	4	9
brltty-espeak-ng	cheap	1	3
brltty-xw	moderate	6	7
brotli	moderate	13	23
bsdtar	unpinnable	1	26
bubblewrap	unpinnable	9	18
buildah	unpinnable	7	28
buildah-tests	unpinnable	7	28
byacc	expensive	22	21
byaccj	moderate	18	17
bzip2	unpinnable	3	41
bzip2-libs	unpinnable	3	17
c-ares	unpinnable	1	18
c2esp	moderate	15	26
cachefilesd	unpinnable	2	19
cairo	unpinnable	1	34
cairo-gobject	free	0	1
cairomm	cheap	3	5
cargo	unpinnable	10	32
cdparanoia	expensive	23	22
cdparanoia-libs	unpinnable	1	19
cdrdao	unpinnable	2	30
celt051	unpinnable	1	22
certmonger	unpinnable	8	34
cgdcbxd	expensive	24	16
chan	moderate	10	8
check	unpinnable	2	24
checkpolicy	expensive	38	27
cheese	unpinnable	4	5
cheese-libs	cheap	1	3
chkconfig	unpinnable	4	23
chrony	unpinnable	4	28
chrpath	moderate	11	13
cifs-utils	unpinnable	4	28
cjose	cheap	4	9
clang	moderate	15	10
clang-devel	unpinnable	4	20
clang-libs	unpinnable	7	19
clang-tools-extra	unpinnable	3	25
clevis	unpinnable	3	19
clevis-udisks2	expensive	28	13
clippy	cheap	4	6
clucene-contribs-lib	moderate	10	8
clucene-core	unpinnable	1	24
clutter	unpinnable	3	17
clutter-gst2	cheap	2	7
clutter-gst3	cheap	3	5
clutter-gtk	free	0	2
cmake	unpinnable	1	37
cmake-gui	unpinnable	1	37
cockpit-bridge	unpinnable	1	28
cockpit-pcp	unpinnable	1	25
cockpit-ws	unpinnable	11	37
cogl	unpinnable	2	14
colord	unpinnable	4	9
colord-gtk	unpinnable	4	2
colord-libs	moderate	10	10
compat-exiv2-026	unpinnable	7	29
compat-guile18	unpinnable	16	38
compat-hwloc1	unpinnable	4	27
compat-libgfortran-48	unpinnable	5	23
compat-libtiff3	unpinnable	1	15
compat-openssl10	unpinnable	2	34
compiler-rt	unpinnable	10	17
conmon	unpinnable	4	23
conntrack-tools	project	80	30
container-exception-logger	cheap	3	7
containernetworking-plugins	unpinnable	3	11
coreos-installer	unpinnable	13	21
coreos-installer-bootinfra	unpinnable	5	20
coreutils	unpinnable	23	42
coreutils-single	unpinnable	23	42
corosync-vqsim	expensive	46	27
corosynclib	unpinnable	1	12
cpio	unpinnable	4	33
cpp	unpinnable	11	35
cppcheck	unpinnable	5	26
cppunit	moderate	12	6
cracklib	unpinnable	3	20
crash	unpinnable	19	44
crash-gcore-command	moderate	11	14
crash-ptdump-command	moderate	9	11
crash-trace-command	moderate	16	17
createrepo_c	moderate	12	12
createrepo_c-libs	expensive	29	21
criu	unpinnable	37	38
criu-libs	unpinnable	1	11
cronie	unpinnable	3	36
cronie-anacron	unpinnable	1	18
crun	unpinnable	17	34
cryptsetup	unpinnable	3	20
cryptsetup-libs	unpinnable	9	26
cryptsetup-reencrypt	unpinnable	3	20
cscope	project	67	35
ctags	expensive	47	29
ctdb	unpinnable	4	29
cups	unpinnable	6	32
cups-client	unpinnable	3	12
cups-filters	unpinnable	3	37
cups-filters-libs	unpinnable	1	26
cups-ipptool	unpinnable	2	21
cups-libs	unpinnable	6	28
cups-lpd	unpinnable	2	14
cups-pk-helper	moderate	12	9
curl	expensive	43	28
cyrus-imapd	unpinnable	3	42
cyrus-imapd-utils	unpinnable	3	36
cyrus-imapd-vzic	expensive	22	15
cyrus-sasl	unpinnable	4	24
cyrus-sasl-devel	unpinnable	3	21
cyrus-sasl-gs2	moderate	8	11
cyrus-sasl-gssapi	moderate	10	10
cyrus-sasl-ldap	moderate	9	10
cyrus-sasl-lib	unpinnable	2	27
cyrus-sasl-md5	moderate	13	15
cyrus-sasl-ntlm	moderate	17	12
cyrus-sasl-plain	moderate	6	11
cyrus-sasl-scram	moderate	11	14
cyrus-sasl-sql	moderate	9	11
daxctl	expensive	24	21
daxctl-libs	unpinnable	1	13
daxio	unpinnable	1	26
dbus-c++	unpinnable	1	15
dbus-c++-glib	cheap	1	1
dbus-daemon	unpinnable	8	21
dbus-glib	unpinnable	1	12
dbus-glib-devel	cheap	5	6
dbus-libs	unpinnable	3	26
dbus-tools	expensive	24	17
dbus-x11	expensive	28	21
dbxtool	unpinnable	2	15
dconf	moderate	19	15
