# The el8 packages the probe stands on, pinned by checksum.
#
# role   sysroot, unpacked and put on the loader path so el8 elfdeps runs;
#        or ref, unpacked and only ever read as an input file. The vendor
#        glibc is ref on purpose: its libc.so.6 is what elfdeps is pointed
#        at, and putting a 2.28 libc on the loader path of a host running
#        2.43 would break every process the probe starts.
# repo   under https://dl.rockylinux.org/pub/rocky/8.10
#
# role	repo	location	sha256
sysroot	AppStream/x86_64/os	Packages/r/rpm-build-4.14.3-32.el8_10.x86_64.rpm	f6c6d6bea47cd59f61a691d26d6e71cf8b6dd17eaccc5617ff227dedc6d7b048
sysroot	BaseOS/x86_64/os	Packages/r/rpm-4.14.3-32.el8_10.x86_64.rpm	3de59eb2a2850cf2c39d5940fb285cf7927941cb98e5e2cd623b425b367b1b98
sysroot	BaseOS/x86_64/os	Packages/r/rpm-libs-4.14.3-32.el8_10.x86_64.rpm	231567e147e46a8a6d938086d4a4994a74cc04281ee149d9f89c99a3c098cc78
sysroot	BaseOS/x86_64/os	Packages/r/rpm-build-libs-4.14.3-32.el8_10.x86_64.rpm	6580b3ce3e28df8982bc46ea92c10e00832fcfc2b9c8d5f8778c23763bc2ef76
sysroot	BaseOS/x86_64/os	Packages/e/elfutils-libelf-0.190-2.el8.x86_64.rpm	0cd9636d64cd3bcc98b27c959d1e21ccf4e8696313801069611eb2306e9c9957
sysroot	BaseOS/x86_64/os	Packages/e/elfutils-libs-0.190-2.el8.x86_64.rpm	13ad1c673193d90641b92aa1f5aa46595919ad9bea0722600c87a7716a1357ee
sysroot	BaseOS/x86_64/os	Packages/p/popt-1.18-1.el8.x86_64.rpm	5d98fd70ff26cbe70d7aad9284c670b45eba929720af926195951259d7f32484
sysroot	BaseOS/x86_64/os	Packages/l/lua-libs-5.3.4-12.el8.x86_64.rpm	62661a4dd553c29e9200d6319490be62d969c4f4620b9f2134a26652c394fcf7
sysroot	BaseOS/x86_64/os	Packages/x/xz-libs-5.2.4-4.el8_6.x86_64.rpm	283e7ac93ffee0cb93f33a991a9ab9f06a272caf88a6c56d17696ab1b2e83499
sysroot	BaseOS/x86_64/os	Packages/b/bzip2-libs-1.0.6-28.el8_10.x86_64.rpm	14ecb4995555392bd45644630196b6f864d93dba9c56133bb96f199841852ad0
sysroot	BaseOS/x86_64/os	Packages/z/zlib-1.2.11-26.el8.x86_64.rpm	84465251ea8790b3d8a1c30bdfc8f11711ffe9060becb7335e1b50f4277c5162
sysroot	BaseOS/x86_64/os	Packages/l/libzstd-1.4.4-1.el8.x86_64.rpm	c3e950878a53d2e6743af8338cf5f0b1afb053034c9eee5ea6797e352d72eca0
sysroot	BaseOS/x86_64/os	Packages/o/openssl-libs-1.1.1k-17.el8_10.x86_64.rpm	a60dfe74bc3f8f77ca94de4c3656119199286e20b1c990d2b1f804a12745fafb
sysroot	BaseOS/x86_64/os	Packages/l/libgcrypt-1.8.5-8.el8_10.x86_64.rpm	bd8bd915ab9e806a0d5b7af4ccef84b660b645bb56b1e4188ffc8596b1893df1
sysroot	BaseOS/x86_64/os	Packages/l/libgpg-error-1.31-1.el8.x86_64.rpm	2bde4100ef033c41c0eaedfe4c33560bda625b838f2ad2c073d4420039399bdf
sysroot	BaseOS/x86_64/os	Packages/l/libdb-5.3.28-42.el8_4.x86_64.rpm	e120f803a572ad17c97a147a445b277ab4da0c8dc3055d8177e2e4a5d5c21443
sysroot	BaseOS/x86_64/os	Packages/l/libacl-2.4.0-1.el8_10.x86_64.rpm	d5d163e4d617a6e158cd8b15e0f244082a4bf16cdabeae794fb8d9e079920868
sysroot	BaseOS/x86_64/os	Packages/l/libattr-2.6.0-1.el8_10.x86_64.rpm	73fafe589b1ac81deff610fc0cb692da829fe7a32d6e19c266d4b911f291bed4
sysroot	BaseOS/x86_64/os	Packages/l/libcap-2.48-6.el8_10.1.x86_64.rpm	ad1acfa784efcf98d72f8eb268849805fe74d135d79d02384478421a87ffd024
sysroot	BaseOS/x86_64/os	Packages/l/libselinux-2.9-11.el8_10.x86_64.rpm	34356ec2bc643df7a2c0c1767db9207bce553bee694539cd60fc987ab3f65b8c
sysroot	BaseOS/x86_64/os	Packages/p/pcre2-10.32-3.el8_6.x86_64.rpm	e01ba987cd81213935bca06b96ec8642a6ee178c178a5df8201c8e13f3b1d87b
sysroot	BaseOS/x86_64/os	Packages/f/file-libs-5.33-27.el8_10.x86_64.rpm	462e93d64e1b0b4034abf8028b3535a4d3160ff02c3febd468e892b836032118
sysroot	BaseOS/x86_64/os	Packages/l/libarchive-3.3.3-7.el8_10.x86_64.rpm	c0600cb7b99f184eee7c134320ef99c306338d6a3ee4b1de7b06aa3cf185ec59
ref	BaseOS/x86_64/os	Packages/g/glibc-2.28-251.el8_10.40.x86_64.rpm	f9ee0ed8611d1b4421ac5f9b377ac238377e47466aaaf075822b2d811f01bbdf
