# generated by gen-wire.py from fwd.tsv + symbol-slice.tsv, slice filesystem; do not edit
# symbol	version	binding	target	table-index
__fxstat	GLIBC_2.2.5	default	-	0
__fxstat64	GLIBC_2.2.5	default	-	1
__fxstatat	GLIBC_2.4	default	-	2
__fxstatat64	GLIBC_2.4	default	-	3
__lxstat	GLIBC_2.2.5	default	-	4
__lxstat64	GLIBC_2.2.5	default	-	5
__xmknod	GLIBC_2.2.5	default	-	6
__xmknodat	GLIBC_2.4	default	-	7
__xstat	GLIBC_2.2.5	default	-	8
__xstat64	GLIBC_2.2.5	default	-	9
fcntl	GLIBC_2.2.5	default	fcntl	22
fcntl64	GLIBC_2.28	default	fcntl	23
fstatfs	GLIBC_2.2.5	default	fstatfs	31
fstatfs64	GLIBC_2.2.5	default	fstatfs	32
fstatvfs	GLIBC_2.2.5	default	fstatvfs	33
fstatvfs64	GLIBC_2.2.5	default	fstatvfs	34
getdirentries	GLIBC_2.2.5	default	-	43
glob	GLIBC_2.2.5	hidden	glob	47
glob	GLIBC_2.27	default	glob	48
glob64	GLIBC_2.2.5	hidden	glob	49
glob64	GLIBC_2.27	default	glob	50
globfree	GLIBC_2.2.5	default	globfree	52
globfree64	GLIBC_2.2.5	default	globfree	53
open	GLIBC_2.2.5	default	open	70
open64	GLIBC_2.2.5	default	open	71
openat	GLIBC_2.4	default	openat	72
openat64	GLIBC_2.4	default	openat	73
readdir	GLIBC_2.2.5	default	readdir	80
readdir64	GLIBC_2.2.5	default	readdir	81
readdir_r	GLIBC_2.2.5	default	readdir_r	82
scandir	GLIBC_2.2.5	default	scandir	85
scandir64	GLIBC_2.2.5	default	scandir	86
statfs	GLIBC_2.2.5	default	statfs	92
statfs64	GLIBC_2.2.5	default	statfs	93
statvfs	GLIBC_2.2.5	default	statvfs	94
statvfs64	GLIBC_2.2.5	default	statvfs	95
