# generated by gen-wire.py from fwd.tsv + symbol-slice.tsv, slice signal; do not edit
# symbol	version	binding	target	table-index
__sysv_signal	GLIBC_2.2.5	default	-	0
sigaction	GLIBC_2.2.5	default	sigaction	6
sigaddset	GLIBC_2.2.5	default	sigaddset	7
sigaltstack	GLIBC_2.2.5	default	sigaltstack	8
sigdelset	GLIBC_2.2.5	default	sigdelset	9
sigemptyset	GLIBC_2.2.5	default	sigemptyset	10
sigfillset	GLIBC_2.2.5	default	sigfillset	11
sigismember	GLIBC_2.2.5	default	sigismember	15
signal	GLIBC_2.2.5	default	signal	16
sigpending	GLIBC_2.2.5	default	sigpending	18
sigprocmask	GLIBC_2.2.5	default	sigprocmask	19
sigqueue	GLIBC_2.2.5	default	sigqueue	20
sigsuspend	GLIBC_2.2.5	default	sigsuspend	23
sigtimedwait	GLIBC_2.2.5	default	sigtimedwait	24
sigwaitinfo	GLIBC_2.2.5	default	sigwaitinfo	26
sysv_signal	GLIBC_2.2.5	default	-	27
