# WP-55 translation table -- generated by extract-tables.py; do not edit.
# linux side: veneer/include (glibc-headers-2.28-251.el8_10.40) over kernel-headers-4.18.0-553.el8_10 (fetch-kernel-headers.sh)
# cygwin side: newlib-cygwin at b11613e47 (DR-0007)
# name	linux	cygwin
EACCES	13	13
EADDRINUSE	98	112
EADDRNOTAVAIL	99	125
EADV	68	68
EAFNOSUPPORT	97	106
EAGAIN	11	11
EALREADY	114	120
EBADE	52	50
EBADF	9	9
EBADFD	77	81
EBADMSG	74	77
EBADR	53	51
EBADRQC	56	54
EBADSLT	57	55
EBFONT	59	57
EBUSY	16	16
ECANCELED	125	140
ECHILD	10	10
ECHRNG	44	37
ECOMM	70	70
ECONNABORTED	103	113
ECONNREFUSED	111	111
ECONNRESET	104	104
EDEADLK	35	45
EDEADLOCK	35	56
EDESTADDRREQ	89	121
EDOM	33	33
EDOTDOT	73	76
EDQUOT	122	132
EEXIST	17	17
EFAULT	14	14
EFBIG	27	27
EHOSTDOWN	112	117
EHOSTUNREACH	113	118
EHWPOISON	133	-
EIDRM	43	36
EILSEQ	84	138
EINPROGRESS	115	119
EINTR	4	4
EINVAL	22	22
EIO	5	5
EISCONN	106	127
EISDIR	21	21
EISNAM	120	-
EKEYEXPIRED	127	-
EKEYREJECTED	129	-
EKEYREVOKED	128	-
EL2HLT	51	44
EL2NSYNC	45	38
EL3HLT	46	39
EL3RST	47	40
ELIBACC	79	83
ELIBBAD	80	84
ELIBEXEC	83	87
ELIBMAX	82	86
ELIBSCN	81	85
ELNRNG	48	41
ELOOP	40	92
EMEDIUMTYPE	124	-
EMFILE	24	24
EMLINK	31	31
EMSGSIZE	90	122
EMULTIHOP	72	74
ENAMETOOLONG	36	91
ENAVAIL	119	-
ENETDOWN	100	115
ENETRESET	102	126
ENETUNREACH	101	114
ENFILE	23	23
ENOANO	55	53
ENOBUFS	105	105
ENOCSI	50	43
ENODATA	61	61
ENODEV	19	19
ENOENT	2	2
ENOEXEC	8	8
ENOKEY	126	-
ENOLCK	37	46
ENOLINK	67	67
ENOMEDIUM	123	135
ENOMEM	12	12
ENOMSG	42	35
ENONET	64	64
ENOPKG	65	65
ENOPROTOOPT	92	109
ENOSPC	28	28
ENOSR	63	63
ENOSTR	60	60
ENOSYS	38	88
ENOTBLK	15	15
ENOTCONN	107	128
ENOTDIR	20	20
ENOTEMPTY	39	90
ENOTNAM	118	-
ENOTRECOVERABLE	131	141
ENOTSOCK	88	108
ENOTSUP	95	134
ENOTTY	25	25
ENOTUNIQ	76	80
ENXIO	6	6
EOPNOTSUPP	95	95
EOVERFLOW	75	139
EOWNERDEAD	130	142
EPERM	1	1
EPFNOSUPPORT	96	96
EPIPE	32	32
EPROTO	71	71
EPROTONOSUPPORT	93	123
EPROTOTYPE	91	107
ERANGE	34	34
EREMCHG	78	82
EREMOTE	66	66
EREMOTEIO	121	-
ERESTART	85	-
ERFKILL	132	-
EROFS	30	30
ESHUTDOWN	108	110
ESOCKTNOSUPPORT	94	124
ESPIPE	29	29
ESRCH	3	3
ESRMNT	69	69
ESTALE	116	133
ESTRPIPE	86	143
ETIME	62	62
ETIMEDOUT	110	116
ETOOMANYREFS	109	129
ETXTBSY	26	26
EUCLEAN	117	-
EUNATCH	49	42
EUSERS	87	131
EWOULDBLOCK	11	11
EXDEV	18	18
EXFULL	54	52
