# WP-55 translation table -- generated by extract-tables.py; do not edit.
# linux side: veneer/include (glibc-headers-2.28-251.el8_10.40) over kernel-headers-4.18.0-553.el8_10 (fetch-kernel-headers.sh)
# cygwin side: newlib-cygwin at b11613e47 (DR-0007)
# family	name	linux	cygwin
O	O_ACCMODE	3	3
O	O_APPEND	1024	8
O	O_ASYNC	8192	-
O	O_CLOEXEC	524288	262144
O	O_CREAT	64	512
O	O_DIRECT	16384	524288
O	O_DIRECTORY	65536	2097152
O	O_DSYNC	4096	8192
O	O_EXCL	128	2048
O	O_FSYNC	1052672	-
O	O_NDELAY	2048	16384
O	O_NOATIME	262144	16777216
O	O_NOCTTY	256	32768
O	O_NOFOLLOW	131072	1048576
O	O_NONBLOCK	2048	16384
O	O_PATH	2097152	33554432
O	O_RDWR	2	2
O	O_RSYNC	1052672	8192
O	O_SYNC	1052672	8192
O	O_TMPFILE	4259840	8388608
O	O_TRUNC	512	1024
O	O_WRONLY	1	1
F	F_ADD_SEALS	1033	-
F	F_DUPFD_CLOEXEC	1030	14
F	F_EXLCK	4	-
F	F_GETFD	1	1
F	F_GETFL	3	3
F	F_GETLEASE	1025	-
F	F_GETLK	5	7
F	F_GETLK64	5	-
F	F_GETOWN	9	5
F	F_GETOWN_EX	16	-
F	F_GETPIPE_SZ	1032	-
F	F_GETSIG	11	-
F	F_GET_FILE_RW_HINT	1037	-
F	F_GET_RW_HINT	1035	-
F	F_GET_SEALS	1034	-
F	F_LOCK	1	1
F	F_NOTIFY	1026	-
F	F_OFD_GETLK	36	-
F	F_OFD_SETLK	37	-
F	F_OFD_SETLKW	38	-
F	F_SEAL_GROW	4	-
F	F_SEAL_SEAL	1	-
F	F_SEAL_SHRINK	2	-
F	F_SEAL_WRITE	8	-
F	F_SETFD	2	2
F	F_SETFL	4	4
F	F_SETLEASE	1024	-
F	F_SETLK	6	8
F	F_SETLK64	6	-
F	F_SETLKW	7	9
F	F_SETLKW64	7	-
F	F_SETOWN	8	6
F	F_SETOWN_EX	15	-
F	F_SETPIPE_SZ	1031	-
F	F_SETSIG	10	-
F	F_SET_FILE_RW_HINT	1038	-
F	F_SET_RW_HINT	1036	-
F	F_SHLCK	8	-
F	F_TEST	3	3
F	F_TLOCK	2	2
F	F_UNLCK	2	3
F	F_WRLCK	1	2
FD	FD_CLOEXEC	1	1
FD	FD_SETSIZE	1024	1024
AT	AT_EACCESS	512	1
AT	AT_EMPTY_PATH	4096	16
AT	AT_FDCWD	18446744073709551516	18446744073709551614
AT	AT_NO_AUTOMOUNT	2048	-
AT	AT_REMOVEDIR	512	8
AT	AT_STATX_DONT_SYNC	16384	-
AT	AT_STATX_FORCE_SYNC	8192	-
AT	AT_STATX_SYNC_TYPE	24576	-
AT	AT_SYMLINK_FOLLOW	1024	4
AT	AT_SYMLINK_NOFOLLOW	256	2
MAP	MAP_32BIT	64	-
MAP	MAP_ANON	32	32
MAP	MAP_ANONYMOUS	32	32
MAP	MAP_DENYWRITE	2048	-
MAP	MAP_EXECUTABLE	4096	-
MAP	MAP_FAILED	18446744073709551615	18446744073709551615
MAP	MAP_FIXED	16	16
MAP	MAP_FIXED_NOREPLACE	1048576	-
MAP	MAP_GROWSDOWN	256	-
MAP	MAP_HUGETLB	262144	-
MAP	MAP_HUGE_MASK	63	-
MAP	MAP_HUGE_SHIFT	26	-
MAP	MAP_LOCKED	8192	-
MAP	MAP_NONBLOCK	65536	-
MAP	MAP_NORESERVE	16384	16384
MAP	MAP_POPULATE	32768	-
MAP	MAP_PRIVATE	2	2
MAP	MAP_SHARED	1	1
MAP	MAP_SHARED_VALIDATE	3	-
MAP	MAP_STACK	131072	-
MAP	MAP_SYNC	524288	-
MAP	MAP_TYPE	15	15
PROT	PROT_EXEC	4	4
PROT	PROT_GROWSDOWN	16777216	-
PROT	PROT_GROWSUP	33554432	-
