# WP-55 translation table -- generated by extract-tables.py; do not edit.
# linux side: veneer/include (glibc-headers-2.28-251.el8_10.40) over kernel-headers-4.18.0-553.el8_10 (fetch-kernel-headers.sh)
# cygwin side: newlib-cygwin at b11613e47 (DR-0007)
# struct	member	linux_off	linux_size	cyg_off	cyg_size
stat	(sizeof)	144	-	128	-
stat	st_dev	0	8	0	4
stat	st_ino	8	8	8	8
stat	st_nlink	16	8	20	2
stat	st_mode	24	4	16	4
stat	st_uid	28	4	24	4
stat	st_gid	32	4	28	4
stat	__pad0	36	4	-	-
stat	st_rdev	40	8	32	4
stat	st_size	48	8	40	8
stat	st_blksize	56	8	96	4
stat	st_blocks	64	8	104	8
stat	st_atim	72	16	48	16
stat	st_mtim	88	16	64	16
stat	st_ctim	104	16	80	16
stat	__glibc_reserved	120	24	-	-
stat	st_birthtim	-	-	112	16
dirent	(sizeof)	280	-	280	-
dirent	d_ino	0	8	8	8
dirent	d_off	8	8	-	-
dirent	d_reclen	16	2	18	2
dirent	d_type	18	1	16	1
dirent	d_name	19	256	24	256
dirent	__d_version	-	-	0	4
dirent	__d_unused1	-	-	17	1
dirent	__d_internal1	-	-	20	4
termios	(sizeof)	60	-	44	-
termios	c_iflag	0	4	0	4
termios	c_oflag	4	4	4	4
termios	c_cflag	8	4	8	4
termios	c_lflag	12	4	12	4
termios	c_line	16	1	16	1
termios	c_cc	17	32	17	18
termios	c_ispeed	52	4	36	4
termios	c_ospeed	56	4	40	4
sockaddr	(sizeof)	16	-	16	-
sockaddr	sa_family	0	2	0	2
sockaddr	sa_data	2	14	2	14
sockaddr_in	(sizeof)	16	-	16	-
sockaddr_in	sin_family	0	2	0	2
sockaddr_in	sin_port	2	2	2	2
sockaddr_in	sin_addr	4	4	4	4
sockaddr_in	sin_zero	8	8	-	-
sockaddr_in	__pad	-	-	8	8
sockaddr_in6	(sizeof)	28	-	28	-
sockaddr_in6	sin6_family	0	2	0	2
sockaddr_in6	sin6_port	2	2	2	2
sockaddr_in6	sin6_flowinfo	4	4	4	4
sockaddr_in6	sin6_addr	8	16	8	16
sockaddr_in6	sin6_scope_id	24	4	24	4
sockaddr_un	(sizeof)	110	-	110	-
sockaddr_un	sun_family	0	2	0	2
sockaddr_un	sun_path	2	108	2	108
sockaddr_storage	(sizeof)	128	-	128	-
sockaddr_storage	ss_family	0	2	0	2
sockaddr_storage	__ss_padding	2	118	-	-
sockaddr_storage	__ss_align	120	8	8	8
sockaddr_storage	_ss_pad1	-	-	2	6
sockaddr_storage	_ss_pad2	-	-	16	112
rlimit	(sizeof)	16	-	16	-
rlimit	rlim_cur	0	8	0	8
rlimit	rlim_max	8	8	8	8
rusage	(sizeof)	144	-	144	-
rusage	ru_utime	0	16	0	16
rusage	ru_stime	16	16	16	16
rusage	ru_maxrss	32	8	32	8
rusage	__ru_maxrss_word	32	8	-	-
rusage	ru_ixrss	40	8	40	8
rusage	__ru_ixrss_word	40	8	-	-
rusage	ru_idrss	48	8	48	8
rusage	__ru_idrss_word	48	8	-	-
rusage	ru_isrss	56	8	56	8
rusage	__ru_isrss_word	56	8	-	-
rusage	ru_minflt	64	8	64	8
rusage	__ru_minflt_word	64	8	-	-
rusage	ru_majflt	72	8	72	8
rusage	__ru_majflt_word	72	8	-	-
rusage	ru_nswap	80	8	80	8
rusage	__ru_nswap_word	80	8	-	-
rusage	ru_inblock	88	8	88	8
rusage	__ru_inblock_word	88	8	-	-
rusage	ru_oublock	96	8	96	8
rusage	__ru_oublock_word	96	8	-	-
rusage	ru_msgsnd	104	8	104	8
rusage	__ru_msgsnd_word	104	8	-	-
rusage	ru_msgrcv	112	8	112	8
rusage	__ru_msgrcv_word	112	8	-	-
rusage	ru_nsignals	120	8	120	8
rusage	__ru_nsignals_word	120	8	-	-
rusage	ru_nvcsw	128	8	128	8
rusage	__ru_nvcsw_word	128	8	-	-
rusage	ru_nivcsw	136	8	136	8
rusage	__ru_nivcsw_word	136	8	-	-
sigaction	(sizeof)	152	-	24	-
sigaction	__sigaction_handler	0	8	-	-
sigaction	sa_mask	8	128	8	8
sigaction	sa_flags	136	4	16	4
sigaction	sa_restorer	144	8	-	-
sigaction	sa_handler	-	-	0	8
sigaction	sa_sigaction	-	-	0	8
timespec	(sizeof)	16	-	16	-
timespec	tv_sec	0	8	0	8
timespec	tv_nsec	8	8	8	8
timeval	(sizeof)	16	-	16	-
timeval	tv_sec	0	8	0	8
timeval	tv_usec	8	8	8	8
itimerval	(sizeof)	32	-	32	-
itimerval	it_interval	0	16	0	16
itimerval	it_value	16	16	16	16
pollfd	(sizeof)	8	-	8	-
pollfd	fd	0	4	0	4
pollfd	events	4	2	4	2
pollfd	revents	6	2	6	2
iovec	(sizeof)	16	-	16	-
iovec	iov_base	0	8	0	8
iovec	iov_len	8	8	8	8
msghdr	(sizeof)	56	-	48	-
msghdr	msg_name	0	8	0	8
msghdr	msg_namelen	8	4	8	4
msghdr	msg_iov	16	8	16	8
msghdr	msg_iovlen	24	8	24	4
msghdr	msg_control	32	8	32	8
msghdr	msg_controllen	40	8	40	4
msghdr	msg_flags	48	4	44	4
