# WP-55 translation table -- generated by extract-tables.py; do not edit.
# linux side: veneer/include (glibc-headers-2.28-251.el8_10.40) over kernel-headers-4.18.0-553.el8_10 (fetch-kernel-headers.sh)
# cygwin side: newlib-cygwin at b11613e47 (DR-0007)
# name	linux	cygwin
SIGABRT	6	6
SIGALRM	14	14
SIGBUS	7	10
SIGCHLD	17	20
SIGCLD	17	20
SIGCONT	18	19
SIGFPE	8	8
SIGHUP	1	1
SIGILL	4	4
SIGINT	2	2
SIGIO	29	23
SIGIOT	6	6
SIGKILL	9	9
SIGPIPE	13	13
SIGPOLL	29	23
SIGPROF	27	27
SIGPWR	30	29
SIGQUIT	3	3
SIGSEGV	11	11
SIGSTKFLT	16	-
SIGSTKSZ	8192	32768
SIGSTOP	19	17
SIGSYS	31	12
SIGTERM	15	15
SIGTRAP	5	5
SIGTSTP	20	18
SIGTTIN	21	21
SIGTTOU	22	22
SIGURG	23	16
SIGUSR1	10	30
SIGUSR2	12	31
SIGVTALRM	26	26
SIGWINCH	28	28
SIGXCPU	24	24
SIGXFSZ	25	25
